City_Code,Region_Code,Accomodation_Type,Reco_Insurance_Type,Upper_Age,Lower_Age,Is_Spouse,Holding_Policy_Duration,Holding_Policy_Type,Reco_Policy_Cat,Reco_Policy_Premium,Response,X1,X2,X3,X4,X5,X6,X7,X8,X9
C3,64,1,1,36,36,0,15,2.0,16,13320.0,0,1,0,0,0,0,0,0,0,0
C3,2955,1,1,66,66,0,10,1.0,19,16152.0,0,0,0,0,0,0,1,0,0,0
C1,1542,0,1,24,24,0,3,1.0,16,7310.0,0,1,0,0,0,0,0,0,0,0
C26,772,0,1,75,75,0,1,3.0,16,15792.0,0,1,0,0,0,0,0,0,0,0
C2,1510,1,0,59,58,1,15,4.0,17,23673.0,0,1,0,0,0,0,0,0,0,0
C26,452,1,1,26,26,0,3,1.0,21,13176.0,0,0,0,0,1,0,0,0,0,0
C17,4001,0,1,20,20,0,15,3.0,19,6880.0,0,0,0,0,1,0,0,0,0,0
C4,1362,0,1,55,55,0,15,3.0,9,14080.0,0,0,1,0,0,0,0,0,0,0
C2,1847,0,1,27,27,0,1,3.0,18,8946.0,0,1,0,0,0,0,0,0,0,0
C2,3377,0,1,30,30,0,15,3.0,13,7572.0,1,0,0,1,0,0,0,0,0,0
C16,309,1,0,36,31,0,7,3.0,21,14256.0,0,0,0,0,1,0,0,0,0,0
C9,3834,1,1,28,28,0,15,3.0,21,8076.0,0,0,0,0,1,0,0,0,0,0
C2,5029,1,1,73,73,0,7,3.0,15,16666.0,1,1,0,0,0,0,0,0,0,0
C23,5845,1,1,33,33,0,15,3.0,14,8800.0,0,0,1,0,0,0,0,0,0,0
C21,4278,0,1,31,31,0,15,3.0,13,7524.0,0,0,1,0,0,0,0,0,0,0
C6,1523,1,0,61,55,1,15,3.0,18,28940.8,0,1,0,0,0,0,0,0,0,0
C7,2503,1,1,41,41,0,13,4.0,22,10134.0,0,1,0,0,0,0,0,0,0,0
C1,1657,1,1,57,57,0,15,3.0,20,13618.0,0,0,1,0,0,0,0,0,0,0
C6,1010,0,0,52,21,0,9,4.0,20,30329.6,0,1,0,0,0,0,0,0,0,0
C1,889,1,1,65,65,0,15,3.0,22,17440.0,0,1,0,0,0,0,0,0,0,0
C11,3288,1,0,46,40,1,13,3.0,5,25728.0,0,0,1,0,0,0,0,0,0,0
C16,573,1,1,35,35,0,1,3.0,15,8800.0,1,0,0,0,1,0,0,0,0,0
C2,849,1,1,42,42,0,7,4.0,22,9044.0,1,0,0,0,0,1,0,0,0,0
C22,550,0,1,22,22,0,15,3.0,9,6610.0,0,1,0,0,0,0,0,0,0,0
C6,3423,1,1,61,61,0,8,2.0,19,15912.0,0,1,0,0,0,0,0,0,0,0
C15,1964,0,0,64,35,1,15,3.0,19,21087.0,0,1,0,0,0,0,0,0,0,0
C2,1673,1,0,75,73,1,14,4.0,22,28896.0,0,0,1,0,0,0,0,0,0,0
C23,4493,1,0,75,71,0,15,3.0,21,23755.2,0,0,1,0,0,0,0,0,0,0
C4,2948,0,1,19,19,0,15,3.0,16,10374.0,0,1,0,0,0,0,0,0,0,0
C17,1915,0,1,50,50,0,15,3.0,12,10116.0,0,0,0,0,0,0,1,0,0,0
C11,2390,1,0,30,27,1,2,3.0,14,8560.0,0,0,0,0,1,0,0,0,0,0
C3,797,0,1,28,28,0,15,3.0,16,6400.0,0,1,0,0,0,0,0,0,0,0
C9,855,0,0,28,20,1,15,3.0,6,16480.8,0,0,1,0,0,0,0,0,0,0
C2,4308,1,0,39,37,1,15,3.0,21,18270.0,0,0,1,0,0,0,0,0,0,0
C3,71,1,1,36,36,0,2,1.0,16,14872.0,1,1,0,0,0,0,0,0,0,0
C6,1983,1,0,56,53,0,15,3.0,21,22035.2,0,1,0,0,0,0,0,0,0,0
C4,779,1,0,65,33,1,15,3.0,17,26790.4,0,0,1,0,0,0,0,0,0,0
C2,496,1,1,48,48,0,15,3.0,18,13728.0,0,1,0,0,0,0,0,0,0,0
C3,2652,0,1,38,38,0,8,3.0,21,9648.0,0,1,0,0,0,0,0,0,0,0
C3,172,0,1,19,19,0,15,3.0,12,3942.0,1,1,0,0,0,0,0,0,0,0
C1,1504,0,1,58,58,0,4,1.0,19,15600.0,1,0,1,0,0,0,0,0,0,0
C13,44,0,1,23,23,0,15,3.0,9,3768.0,1,1,0,0,0,0,0,0,0,0
C8,3078,0,1,26,26,0,15,3.0,22,12654.0,1,0,0,1,0,0,0,0,0,0
C35,6155,0,1,24,24,0,2,3.0,13,8816.0,0,0,0,1,0,0,0,0,0,0
C1,1647,1,0,65,64,1,15,3.0,20,21599.2,0,1,0,0,0,0,0,0,0,0
C17,2039,1,1,75,75,0,1,1.0,16,19380.0,0,1,0,0,0,0,0,0,0,0
C9,1009,0,1,22,22,0,15,3.0,4,9904.0,0,1,0,0,0,0,0,0,0,0
C17,1948,0,0,31,21,1,3,2.0,1,8865.0,0,1,0,0,0,0,0,0,0,0
C29,3150,1,0,57,48,1,15,3.0,6,19728.0,0,1,0,0,0,0,0,0,0,0
C2,771,0,1,23,23,0,15,3.0,3,8340.0,0,1,0,0,0,0,0,0,0,0
C1,2857,1,1,62,62,0,8,1.0,13,13420.0,0,1,0,0,0,0,0,0,0,0
C29,3037,1,0,60,57,1,15,3.0,4,23296.0,0,1,0,0,0,0,0,0,0,0
C7,3922,0,1,37,37,0,15,3.0,12,11520.0,0,1,0,0,0,0,0,0,0,0
C3,3292,0,1,24,24,0,2,1.0,16,7980.0,0,1,0,0,0,0,0,0,0,0
C9,2274,1,1,62,62,0,15,3.0,18,17416.0,0,1,0,0,0,0,0,0,0,0
C8,924,0,1,34,34,0,15,3.0,17,12880.0,1,0,0,1,0,0,0,0,0,0
C16,2624,1,1,58,58,0,15,3.0,19,15240.0,0,1,0,0,0,0,0,0,0,0
C8,2865,0,1,33,33,0,3,1.0,16,10784.0,0,0,1,0,0,0,0,0,0,0
C2,17,1,1,56,56,0,2,4.0,11,14872.0,0,0,1,0,0,0,0,0,0,0
C11,1014,1,0,27,26,1,2,1.0,16,16563.2,0,1,0,0,0,0,0,0,0,0
C3,482,0,1,28,28,0,1,1.0,16,11440.0,0,1,0,0,0,0,0,0,0,0
C3,2084,0,1,22,22,0,15,3.0,21,4068.0,0,0,0,0,1,0,0,0,0,0
C3,2054,1,0,45,39,1,5,2.0,9,25708.8,0,0,1,0,0,0,0,0,0,0
C1,5,1,0,67,62,1,15,3.0,16,25804.8,0,1,0,0,0,0,0,0,0,0
C3,3351,0,1,32,32,0,15,3.0,17,13220.0,0,0,1,0,0,0,0,0,0,0
